job_title,job_detail_url,job_listed,company_name,company_link,company_location
"Social Work Internship in Delhi, Pitampura",https://in.linkedin.com/jobs/view/social-work-internship-in-delhi-pitampura-at-aadi-foundation-3944625644?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=zqZBglmQdytOrC7w%2BG%2B1%2BA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Aadi foundation,https://in.linkedin.com/company/aadi-foundation-official?trk=public_jobs_jserp-result_job-search-card-subtitle,"Saraswati Vihar, Delhi, India"
"Social Work Internship in Delhi, Pitampura",https://in.linkedin.com/jobs/view/social-work-internship-in-delhi-pitampura-at-aadi-foundation-3944651255?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=%2BPom0guTiO9W3qPde51r9w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Aadi foundation,https://in.linkedin.com/company/aadi-foundation-official?trk=public_jobs_jserp-result_job-search-card-subtitle,"Delhi, India"
Social Media Manager,https://in.linkedin.com/jobs/view/social-media-manager-at-phonepe-3921057417?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=7s8xbITT0PNMHnAnBJ25dA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,PhonePe,https://in.linkedin.com/company/phonepe-internet?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India"
Category Lead,https://in.linkedin.com/jobs/view/category-lead-at-reliance-retail-3945251150?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=pRxpUFLUJnuSKJuCUrD9SA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Reliance Retail,https://in.linkedin.com/company/reliance-retail?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India"
Product Manager - Product Business,https://in.linkedin.com/jobs/view/product-manager-product-business-at-reliance-retail-3943446945?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=QJ7oaVwJmts0lk4AQUEkWA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Reliance Retail,https://in.linkedin.com/company/reliance-retail?trk=public_jobs_jserp-result_job-search-card-subtitle,"Navi Mumbai, Maharashtra, India"
Digital Marketing Internship in Dehradun,https://in.linkedin.com/jobs/view/digital-marketing-internship-in-dehradun-at-imedia-advertising-agency-3943705369?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=HiPo2%2FbzntAwXwYzTQ6d%2Bg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,IMedia Advertising Agency,https://kw.linkedin.com/company/imedia-advertising-agency?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dehradun, Uttarakhand, India"
Hiring for Manager -Social Media and Digital Marketing,https://in.linkedin.com/jobs/view/hiring-for-manager-social-media-and-digital-marketing-at-metro-brands-limited-3939468103?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=cfkc6N5Lte%2FSknfK0kwvdg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,Metro Brands Limited,https://in.linkedin.com/company/metro-brands-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India"
Brand Manager,https://in.linkedin.com/jobs/view/brand-manager-at-rebel-foods-3943464540?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=h7oWH5%2BZ866kQxC%2FCJP9nw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Rebel Foods,https://in.linkedin.com/company/rebel-foods?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India"
Market Research Internship in Ahmedabad,https://in.linkedin.com/jobs/view/market-research-internship-in-ahmedabad-at-petpooja-3944638187?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=uFd2WaLOdj%2BG3Wu96ZP5lw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Petpooja,https://in.linkedin.com/company/petpooja-prayosha-food-service-pvt-ltd-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ahmedabad, Gujarat, India"
Senior Executive - ORM,https://in.linkedin.com/jobs/view/senior-executive-orm-at-swiggy-3945454574?refId=K0GBp5OPzCfuuVUs9kMftw%3D%3D&trackingId=s5vS%2B8qkcyQ9RF67lkKzqQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Swiggy,https://in.linkedin.com/company/swiggy-in?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India"
