job_title,job_detail_url,job_listed,company_name,company_link,company_location
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3938787059?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=bMmBy2fl%2BQpGsjT%2Bo1lCaQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Atria Wealth Solutions,https://www.linkedin.com/company/atria-wealth-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3938781830?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=cQRM2M3e3iwCvwPcSCFi6w%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Atria Wealth Solutions,https://www.linkedin.com/company/atria-wealth-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3938784595?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=iWPlWDxFjBmOAhS5okEGMg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Atria Wealth Solutions,https://www.linkedin.com/company/atria-wealth-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-styleai-3943780771?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=Pj2zXo3OAgpF%2BPnK8AKUDQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,StyleAI,https://www.linkedin.com/company/usestyleai?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-hackajob-3943121795?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=yktrwsQz7nCEykCGDaaVIg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,hackajob,https://uk.linkedin.com/company/hackajob?trk=public_jobs_jserp-result_job-search-card-subtitle,"Durham, NC"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-matlen-silver-3944270244?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=V0rnwoLjqBUU3qAzdmn2FQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,2 days ago,Matlen Silver,https://www.linkedin.com/company/matlen-silver?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-cdw-3943736135?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=WGq6ixdfwe0s5rvLjzeeWg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,CDW,https://www.linkedin.com/company/cdw?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Business Data Analyst,https://www.linkedin.com/jobs/view/business-data-analyst-at-ltimindtree-3943590646?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=7dnY0aLGtGCYrjbtJ5xfBw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,2 days ago,LTIMindtree,https://in.linkedin.com/company/ltimindtree?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Jersey, United States"
"Senior Analyst, Consumer Insights",https://www.linkedin.com/jobs/view/senior-analyst-consumer-insights-at-chipotle-mexican-grill-3939285301?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=kgZeDdIZor18B0rtyHp3uA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Chipotle Mexican Grill,https://www.linkedin.com/company/chipotle-mexican-grill?trk=public_jobs_jserp-result_job-search-card-subtitle,"Newport Beach, CA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-3941792297?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=49HQf8feU8H27wYWv7wvyg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,5 days ago,IntePros,https://www.linkedin.com/company/intepros?trk=public_jobs_jserp-result_job-search-card-subtitle,"Philadelphia, PA"
