job_title,job_detail_url,job_listed,company_name,company_link,company_location
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-tarte-cosmetics-3930253024?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=VC9Sqo9%2FiyO7ZROZ7UANiQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Tarte Cosmetics,https://www.linkedin.com/company/tarte-cosmetics?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Social Media Specialist (FWRD),https://www.linkedin.com/jobs/view/social-media-specialist-fwrd-at-revolve-3930907428?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=IsXRdPa2qyazigJaGK6m%2BQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,6 days ago,REVOLVE,https://www.linkedin.com/company/revolve-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cerritos, CA"
"Director, Social Media",https://www.linkedin.com/jobs/view/director-social-media-at-gap-3932404737?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=IhZTPIH6NOgACseSk6zEHg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,Gap,https://www.linkedin.com/company/gap-inc--gap?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Entry Level Social Media Assistant,https://www.linkedin.com/jobs/view/entry-level-social-media-assistant-at-zoom-vibe-co-3930998340?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=UcG%2B2jV9spsjyBuj6bfJVQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,6 days ago,Zoom Vibe Co,https://www.linkedin.com/company/zoom-vibe-co?trk=public_jobs_jserp-result_job-search-card-subtitle,"Washington, DC"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-haute-living-3931533767?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=pAhcJCw5A2yE%2FbKSgYeQcg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,6 days ago,Haute Living,https://www.linkedin.com/company/haute-living-magazine?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miami, FL"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-moroccanoil-3934786799?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=9WPclo6FT%2Bz%2FKakhFzA8Jg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2 days ago,Moroccanoil,https://www.linkedin.com/company/moroccanoil?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
Head of Social Media,https://www.linkedin.com/jobs/view/head-of-social-media-at-whoop-3914450784?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=lBqzbAe2tRGEyxw9dFuDbA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,WHOOP,https://www.linkedin.com/company/whoop?trk=public_jobs_jserp-result_job-search-card-subtitle,"Boston, MA"
Social Media Specialist with Luxury Branding Expertise,https://www.linkedin.com/jobs/view/social-media-specialist-with-luxury-branding-expertise-at-j-adore-les-fleurs-3455666374?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=SyBscv%2B%2F5Ohm5IbkAkFmdA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,J'Adore Les Fleurs,https://www.linkedin.com/company/jadorelesfleurs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Glendale, CA"
"Coordinator, Social Media & Community (Hybrid in Oxnard)",https://www.linkedin.com/jobs/view/coordinator-social-media-community-hybrid-in-oxnard-at-seed-beauty-colourpop-3935205167?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=SaA8m6GvTXBmIbI9ZfldxQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Seed Beauty/ColourPop,https://www.linkedin.com/company/seedbeauty?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-dcb-hospitality-group-3922083804?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=NKwOu2E7WdyHck2QTLs5uw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,DCB Hospitality Group,https://www.linkedin.com/company/dcb-hospitality-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Social Media Integrated Content Senior Manager,https://www.linkedin.com/jobs/view/social-media-integrated-content-senior-manager-at-chantecaille-beaut%C3%A9-3932020105?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=7sl%2BZNa6lQxXyYeT%2BpftJw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Chantecaille Beauté,https://www.linkedin.com/company/chantecaillebeaut%C3%A9?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Social Media Content Coordinator,https://www.linkedin.com/jobs/view/social-media-content-coordinator-at-brilliant-pr-marketing-3934634866?refId=OYnnVO6xQVEmcQ%2FBneIXDg%3D%3D&trackingId=d8KvY1hzkXLf9l66XIR4MA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Brilliant PR & Marketing,https://www.linkedin.com/company/brilliantprm?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-ruckus-films-3927885506?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=kvaNk%2FvdCTsxNYkrboYMpQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago,Ruckus Films,https://www.linkedin.com/company/ruckus-films?trk=public_jobs_jserp-result_job-search-card-subtitle,"California, United States"
"Specialist, Paid Social Media",https://www.linkedin.com/jobs/view/specialist-paid-social-media-at-victoria%E2%80%99s-secret-co-3912143053?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=n0gUQocs4UQ%2BEL3q%2FBmCTw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,5 days ago,Victoria’s Secret & Co.,https://www.linkedin.com/company/victoria%27s-secret?trk=public_jobs_jserp-result_job-search-card-subtitle,"Columbus, Ohio Metropolitan Area"
Social Media Coordinator,https://www.linkedin.com/jobs/view/social-media-coordinator-at-lulus-3929501665?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=K2zelepU8elWj513jarLSg%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,Lulus,https://www.linkedin.com/company/lulusdotcom?trk=public_jobs_jserp-result_job-search-card-subtitle,Los Angeles Metropolitan Area
Entry Level Social Media Assistant,https://www.linkedin.com/jobs/view/entry-level-social-media-assistant-at-devcomnow-3928909735?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=nJUUobCgGb%2BbZMFGPelilA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,DevComNow,https://uk.linkedin.com/company/devcomnowus?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jersey City, NJ"
Social Media Specialist,https://www.linkedin.com/jobs/view/social-media-specialist-at-mint-cannabis-3934935750?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=lmH4fbwE5dxj%2Bk4OHTrB6g%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago,Mint Cannabis,https://www.linkedin.com/company/mintcannabis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Guadalupe, AZ"
Social Media Content Coordinator,https://www.linkedin.com/jobs/view/social-media-content-coordinator-at-brilliant-pr-marketing-3934738958?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=35YuqahZN8tmQfwJdS61hg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago,Brilliant PR & Marketing,https://www.linkedin.com/company/brilliantprm?trk=public_jobs_jserp-result_job-search-card-subtitle,"Philadelphia, PA"
Social Media Assistant,https://www.linkedin.com/jobs/view/social-media-assistant-at-endorse-infinity-3925967077?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=LWpP%2ByG3tmyU%2BWUUIreHrA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,6 days ago,Endorse Infinity,https://www.linkedin.com/company/endorseinfinity?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Social Media Coordinator (Full Time),https://www.linkedin.com/jobs/view/social-media-coordinator-full-time-at-circuit-of-the-americas-3928610456?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=hu3ngzJTENL3XG9dohlCAw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,Circuit of The Americas,https://www.linkedin.com/company/circuit-of-the-americas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Del Valle, TX"
Social Media Coordinator,https://www.linkedin.com/jobs/view/social-media-coordinator-at-the-avon-company-3929176283?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=zckCBnVgBY4dX5TOE9WinQ%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,The Avon Company,https://www.linkedin.com/company/the-avon-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Social Media Community Specialist,https://www.linkedin.com/jobs/view/social-media-community-specialist-at-nestl%C3%A9-3931262016?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=MSjUFar34G%2FNXTCZpAqyUw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago,Nestlé,https://ch.linkedin.com/company/nestle-s-a-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Arlington, VA"
Entry Level Social Media Assistant,https://www.linkedin.com/jobs/view/entry-level-social-media-assistant-at-sales-bizlab-3933588162?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=rKxctHohVJUKJ615ZqYSZg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago,Sales Bizlab,https://www.linkedin.com/company/sales-bizlab?trk=public_jobs_jserp-result_job-search-card-subtitle,"Washington, DC"
Social Media Manager - Baseball,https://www.linkedin.com/jobs/view/social-media-manager-baseball-at-wave-sports-%2B-entertainment-3929453157?refId=l86L8XqLC9NybtAzHd7iqg%3D%3D&trackingId=SiJfdOXOwvBiqxwO%2BP%2BNDQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,Wave Sports + Entertainment,https://www.linkedin.com/company/wavetv?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, United States"
